time,taker,case,base,quote,price,quantity
2022-10-11 23:55:45.986017,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.018,553
2022-10-11 23:55:45.986017,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.0178,53
2022-10-11 23:55:45.986017,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.0178,1
2022-10-11 23:55:45.986017,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.018,52
2022-10-11 23:55:45.986017,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0179,558
2022-10-11 23:55:45.986017,54ca016558dcbcd60d94dd7c4ae1669c62c7be10ca9f8b8cb9a5bc03d2fe5e33,buy,Mango,USD Coin,0.0179,89
2022-10-11 23:55:45.986017,54ca016558dcbcd60d94dd7c4ae1669c62c7be10ca9f8b8cb9a5bc03d2fe5e33,buy,Mango,USD Coin,0.018,466
2022-10-11 23:55:45.986017,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.018,555
2022-10-11 23:55:45.986017,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.018,2
2022-10-11 23:55:39.655246,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0178,561
2022-10-11 23:55:27.424052,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0178,352
2022-10-11 23:55:27.424052,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0178,561
2022-10-11 23:55:27.424052,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0178,183
2022-10-11 23:55:27.424052,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0178,378
2022-10-11 23:55:27.424052,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.018,206
2022-10-11 23:55:16.085479,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0175,282
2022-10-11 23:55:16.085479,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0178,284
2022-10-11 23:55:10.49029,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0175,570
2022-10-11 23:55:04.373843,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.0174,67
2022-10-11 23:54:51.261525,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.0173,654
2022-10-11 23:54:51.261525,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0174,574
2022-10-11 23:49:24.015342,Mango,sell,Mango,USD Coin,0.0166,6
2022-10-11 23:49:12.565226,Mango,sell,Mango,USD Coin,0.0166,67
2022-10-11 23:48:49.77468,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0168,596
2022-10-11 23:48:28.04095,6c8816eeb636e7b7514c0a12bc8a4d18c7372a54a3492af432300e20e832d3d3,sell,Mango,USD Coin,0.0136,4731
2022-10-11 23:48:28.04095,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0136,737
2022-10-11 23:48:28.04095,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0136,740
2022-10-11 23:48:28.04095,6c8816eeb636e7b7514c0a12bc8a4d18c7372a54a3492af432300e20e832d3d3,sell,Mango,USD Coin,0.0166,1242
